"","X","kfr_black_pooled_p25","kfr_black_pooled_p25_se","czname","state","county","tract","close_posterior_means"
"1",0,0.43688393,0.085584916,"Phoenix",4,13,40530,0.415085546334409
"2",1,0.34607136,0.058589317,"Phoenix",4,13,60901,0.358750463587379
"3",2,0.31542888,0.06096375,"Phoenix",4,13,60903,0.352189332694007
"4",3,0.47332206,0.072297096,"Phoenix",4,13,60904,0.415508294803754
"5",4,0.3955625,0.079358295,"Phoenix",4,13,61009,0.400978803414565
"6",5,0.39292845,0.068944052,"Phoenix",4,13,61011,0.386588755747668
"7",6,0.33981496,0.06653142,"Phoenix",4,13,61012,0.368028985258376
"8",7,0.67078263,0.069814816,"Phoenix",4,13,61014,0.492266486361526
"9",8,0.29130843,0.049117353,"Phoenix",4,13,61015,0.327576009154807
"10",9,0.29580772,0.061246496,"Phoenix",4,13,61022,0.34676765367759
"11",10,0.26393569,0.072582223,"Phoenix",4,13,61023,0.361303572272008
"12",11,0.39007086,0.083576493,"Phoenix",4,13,61027,0.404880513818347
"13",12,0.46659258,0.094897225,"Phoenix",4,13,61033,0.421904324479806
"14",13,0.38035658,0.072673015,"Phoenix",4,13,61035,0.388171548897119
"15",14,0.37976095,0.072767429,"Phoenix",4,13,61040,0.388155844283407
"16",15,0.40762603,0.070944488,"Phoenix",4,13,61041,0.393365992314004
"17",16,0.35139564,0.045765843,"Phoenix",4,13,61046,0.349594186620207
"18",17,0.40572006,0.032640848,"Phoenix",4,13,61100,0.383869902646318
"19",18,0.29124519,0.032839455,"Phoenix",4,13,61200,0.31141831970744
"20",19,0.35810572,0.058496505,"Phoenix",4,13,61401,0.362825167780269
"21",20,0.32385755,0.036646631,"Phoenix",4,13,61402,0.331010778725573
"22",21,0.43721044,0.072508603,"Phoenix",4,13,71512,0.403853516852556
"23",22,0.36028868,0.072305098,"Phoenix",4,13,71517,0.382589057944096
"24",23,0.40009573,0.069095746,"Phoenix",4,13,71903,0.388923140652096
"25",24,0.37606278,0.069726244,"Phoenix",4,13,71906,0.382806691262431
"26",25,0.32814124,0.058410533,"Phoenix",4,13,71909,0.352511420104
"27",26,0.33073843,0.041712169,"Phoenix",4,13,71910,0.337533923770052
"28",27,0.29785854,0.07005652,"Phoenix",4,13,71911,0.363626182303796
"29",28,0.28280076,0.060940821,"Phoenix",4,13,71912,0.342390987497139
"30",29,0.34120038,0.051424995,"Phoenix",4,13,71913,0.349336817589038
"31",30,0.26438248,0.052378323,"Phoenix",4,13,71914,0.321968167760297
"32",31,0.36396614,0.051307693,"Phoenix",4,13,71915,0.358604725819264
"33",32,0.38489622,0.047288299,"Phoenix",4,13,82002,0.366642844929563
"34",33,0.32227919,0.035137698,"Phoenix",4,13,82007,0.329351097128898
"35",34,0.35229486,0.037077226,"Phoenix",4,13,82008,0.345979249653866
"36",35,0.30323982,0.031585235,"Phoenix",4,13,82009,0.31710256836963
"37",36,0.29034981,0.026638476,"Phoenix",4,13,82010,0.305884109659569
"38",37,0.41179615,0.07341864,"Phoenix",4,13,82012,0.397453962503939
"39",38,0.37231833,0.06233516,"Phoenix",4,13,82016,0.372083766138027
"40",39,0.40045112,0.040843364,"Phoenix",4,13,82018,0.37591504001625
"41",40,0.50122786,0.129472,"Phoenix",4,13,82019,0.426070137000282
"42",41,0.43800279,0.073015928,"Phoenix",4,13,82020,0.404553867536558
"43",42,0.40453842,0.11993963,"Phoenix",4,13,82021,0.422395217281904
"44",43,0.41243276,0.059347998,"Phoenix",4,13,82023,0.384669070951337
"45",44,0.4768635,0.07911507,"Phoenix",4,13,82026,0.420125803861434
"46",45,0.31702274,0.039079878,"Phoenix",4,13,82028,0.329256163562464
"47",46,0.4640691,0.077165529,"Phoenix",4,13,82205,0.415493800481232
"48",47,0.31614172,0.051571518,"Phoenix",4,13,92305,0.339847504961256
"49",48,0.3800264,0.071066409,"Phoenix",4,13,92306,0.385797105316708
"50",49,0.44726861,0.055493683,"Phoenix",4,13,92307,0.401164461408477
"51",50,0.29922932,0.05305874,"Phoenix",4,13,92308,0.335420762792154
"52",51,0.33124971,0.059898373,"Phoenix",4,13,92309,0.355561960934049
"53",52,0.41361886,0.049802985,"Phoenix",4,13,92311,0.382716585561026
"54",53,0.36539865,0.051610935,"Phoenix",4,13,92312,0.359425590033212
"55",54,0.33483514,0.029097529,"Phoenix",4,13,92401,0.333472907730343
"56",55,0.32907835,0.053564847,"Phoenix",4,13,92402,0.346828061986591
"57",56,0.28940398,0.048459508,"Phoenix",4,13,92500,0.326050576995788
"58",57,0.38852617,0.06472785,"Phoenix",4,13,92705,0.38024341226615
"59",58,0.3062712,0.089452885,"Phoenix",4,13,92709,0.399190108734731
"60",59,0.42997605,0.085722573,"Phoenix",4,13,92710,0.413924578329513
"61",60,0.36605057,0.064889707,"Phoenix",4,13,92711,0.373271549574191
"62",61,0.32118347,0.045888502,"Phoenix",4,13,92712,0.33643945887962
"63",62,0.43834773,0.051877484,"Phoenix",4,13,92713,0.396951729707034
"64",63,0.35844654,0.050449483,"Phoenix",4,13,92715,0.355647390217084
"65",64,0.32714406,0.037199434,"Phoenix",4,13,92716,0.332975768684844
"66",65,0.35412177,0.039417766,"Phoenix",4,13,92717,0.347824158370097
"67",66,0.3444514,0.035562597,"Phoenix",4,13,92718,0.341150515773214
"68",67,0.2879577,0.074315153,"Phoenix",4,13,92719,0.370113773003691
"69",68,0.46379286,0.067213714,"Phoenix",4,13,92720,0.409845063945357
"70",69,0.28165907,0.033705685,"Phoenix",4,13,92801,0.306959295038033
"71",70,0.28374627,0.025298024,"Phoenix",4,13,92802,0.300546809976528
"72",71,0.2121003,0.036029164,"Phoenix",4,13,92900,0.273745275114299
"73",72,0.34296417,0.02384204,"Phoenix",4,13,93001,0.336983935082663
"74",73,0.24788156,0.032560144,"Phoenix",4,13,93002,0.287404878148978
"75",74,0.27074277,0.021754066,"Phoenix",4,13,93101,0.288401739154364
"76",75,0.30623177,0.028812036,"Phoenix",4,13,93104,0.317018605714078
"77",76,0.31453019,0.029982137,"Phoenix",4,13,93105,0.322429735358198
"78",77,0.35876885,0.031740267,"Phoenix",4,13,93106,0.348697247020238
"79",78,0.35788915,0.033724301,"Phoenix",4,13,93200,0.348392552813575
"80",79,0.43240857,0.069031335,"Phoenix",4,13,103210,0.399233077780377
"81",80,0.31060651,0.05573307,"Phoenix",4,13,103302,0.342982556217083
"82",81,0.30593947,0.058860671,"Phoenix",4,13,103306,0.346003539986325
"83",82,0.48784906,0.091139778,"Phoenix",4,13,103400,0.425008582531723
"84",83,0.43398261,0.047624633,"Phoenix",4,13,103609,0.396004813292599
"85",84,0.35617852,0.070667543,"Phoenix",4,13,103612,0.378963361039184
"86",85,0.31781885,0.044042185,"Phoenix",4,13,103615,0.333465000430878
"87",86,0.30625886,0.043815386,"Phoenix",4,13,103900,0.328231404398061
"88",87,0.46752653,0.050553568,"Phoenix",4,13,104000,0.41651667270996
"89",88,0.33218718,0.062024273,"Phoenix",4,13,104202,0.358890712827927
"90",89,0.31079429,0.046028093,"Phoenix",4,13,104203,0.332193213762191
"91",90,0.31079102,0.054823294,"Phoenix",4,13,104204,0.341818738691613
"92",91,0.39664975,0.040942561,"Phoenix",4,13,104205,0.373336275838126
"93",92,0.3003636,0.047368612,"Phoenix",4,13,104206,0.329216273552104
"94",93,0.39910677,0.075285472,"Phoenix",4,13,104207,0.396521581561769
"95",94,0.31817284,0.05669469,"Phoenix",4,13,104212,0.346860173423115
"96",95,0.35711923,0.073313922,"Phoenix",4,13,104215,0.383444891756526
"97",96,0.35886088,0.074298806,"Phoenix",4,13,104217,0.38546618933967
"98",97,0.49301398,0.070642732,"Phoenix",4,13,104218,0.422291322903843
"99",98,0.41117308,0.049204335,"Phoenix",4,13,104221,0.381336583895808
"100",99,0.16326717,0.03615731,"Phoenix",4,13,104222,0.246252527333588
"101",100,0.30063623,0.04534182,"Phoenix",4,13,104224,0.327277003806655
"102",101,0.31026953,0.076667607,"Phoenix",4,13,104226,0.379360750050779
"103",102,0.33102995,0.050690904,"Phoenix",4,13,104302,0.344657843107198
"104",103,0.34224766,0.037737958,"Phoenix",4,13,104401,0.340898402201034
"105",104,0.27733901,0.044107933,"Phoenix",4,13,104501,0.315994326347634
"106",105,0.27837446,0.042816874,"Phoenix",4,13,104502,0.314945582656968
"107",106,0.39507231,0.059303552,"Phoenix",4,13,104600,0.377450176622765
"108",107,0.30415866,0.077083446,"Phoenix",4,13,104802,0.378975663814819
"109",108,0.3414045,0.050519913,"Phoenix",4,13,105200,0.348629529869315
"110",109,0.40601522,0.064540975,"Phoenix",4,13,105501,0.386064086598632
"111",110,0.39274311,0.064282611,"Phoenix",4,13,105502,0.381174157720956
"112",111,0.34993854,0.043005582,"Phoenix",4,13,105503,0.34738521235506
"113",112,0.34870169,0.028774982,"Phoenix",4,13,105602,0.341744344979868
"114",113,0.33269206,0.063815691,"Phoenix",4,13,105701,0.3617537919148
"115",114,0.29431838,0.076662146,"Phoenix",4,13,105702,0.376232018415096
"116",115,0.29737413,0.048178885,"Phoenix",4,13,105800,0.328884583321126
"117",116,0.28435296,0.036940243,"Phoenix",4,13,105900,0.31146893358673
"118",117,0.31801325,0.037016168,"Phoenix",4,13,106003,0.328327708654697
"119",118,0.42184246,0.064316295,"Phoenix",4,13,106100,0.39171798873748
"120",119,0.29362428,0.038883738,"Phoenix",4,13,106300,0.31789185992659
"121",120,0.46183285,0.081520736,"Phoenix",4,13,106501,0.417723879336581
"122",121,0.30286658,0.050728183,"Phoenix",4,13,106502,0.333894584387077
"123",122,0.33206338,0.028983586,"Phoenix",4,13,106701,0.331841612366168
"124",123,0.34598434,0.027658846,"Phoenix",4,13,106801,0.339775342333452
