,kfr_black_pooled_p25,kfr_black_pooled_p25_se,czname,state,county,tract
0,0.43688393,0.085584916,Phoenix,4,13,40530
1,0.34607136,0.058589317,Phoenix,4,13,60901
2,0.31542888,0.06096375,Phoenix,4,13,60903
3,0.47332206,0.072297096,Phoenix,4,13,60904
4,0.3955625,0.079358295,Phoenix,4,13,61009
5,0.39292845,0.068944052,Phoenix,4,13,61011
6,0.33981496,0.06653142,Phoenix,4,13,61012
7,0.67078263,0.069814816,Phoenix,4,13,61014
8,0.29130843,0.049117353,Phoenix,4,13,61015
9,0.29580772,0.061246496,Phoenix,4,13,61022
10,0.26393569,0.072582223,Phoenix,4,13,61023
11,0.39007086,0.083576493,Phoenix,4,13,61027
12,0.46659258,0.094897225,Phoenix,4,13,61033
13,0.38035658,0.072673015,Phoenix,4,13,61035
14,0.37976095,0.072767429,Phoenix,4,13,61040
15,0.40762603,0.070944488,Phoenix,4,13,61041
16,0.35139564,0.045765843,Phoenix,4,13,61046
17,0.40572006,0.032640848,Phoenix,4,13,61100
18,0.29124519,0.032839455,Phoenix,4,13,61200
19,0.35810572,0.058496505,Phoenix,4,13,61401
20,0.32385755,0.036646631,Phoenix,4,13,61402
21,0.43721044,0.072508603,Phoenix,4,13,71512
22,0.36028868,0.072305098,Phoenix,4,13,71517
23,0.40009573,0.069095746,Phoenix,4,13,71903
24,0.37606278,0.069726244,Phoenix,4,13,71906
25,0.32814124,0.058410533,Phoenix,4,13,71909
26,0.33073843,0.041712169,Phoenix,4,13,71910
27,0.29785854,0.07005652,Phoenix,4,13,71911
28,0.28280076,0.060940821,Phoenix,4,13,71912
29,0.34120038,0.051424995,Phoenix,4,13,71913
30,0.26438248,0.052378323,Phoenix,4,13,71914
31,0.36396614,0.051307693,Phoenix,4,13,71915
32,0.38489622,0.047288299,Phoenix,4,13,82002
33,0.32227919,0.035137698,Phoenix,4,13,82007
34,0.35229486,0.037077226,Phoenix,4,13,82008
35,0.30323982,0.031585235,Phoenix,4,13,82009
36,0.29034981,0.026638476,Phoenix,4,13,82010
37,0.41179615,0.07341864,Phoenix,4,13,82012
38,0.37231833,0.06233516,Phoenix,4,13,82016
39,0.40045112,0.040843364,Phoenix,4,13,82018
40,0.50122786,0.129472,Phoenix,4,13,82019
41,0.43800279,0.073015928,Phoenix,4,13,82020
42,0.40453842,0.11993963,Phoenix,4,13,82021
43,0.41243276,0.059347998,Phoenix,4,13,82023
44,0.4768635,0.07911507,Phoenix,4,13,82026
45,0.31702274,0.039079878,Phoenix,4,13,82028
46,0.4640691,0.077165529,Phoenix,4,13,82205
47,0.31614172,0.051571518,Phoenix,4,13,92305
48,0.3800264,0.071066409,Phoenix,4,13,92306
49,0.44726861,0.055493683,Phoenix,4,13,92307
50,0.29922932,0.05305874,Phoenix,4,13,92308
51,0.33124971,0.059898373,Phoenix,4,13,92309
52,0.41361886,0.049802985,Phoenix,4,13,92311
53,0.36539865,0.051610935,Phoenix,4,13,92312
54,0.33483514,0.029097529,Phoenix,4,13,92401
55,0.32907835,0.053564847,Phoenix,4,13,92402
56,0.28940398,0.048459508,Phoenix,4,13,92500
57,0.38852617,0.06472785,Phoenix,4,13,92705
58,0.3062712,0.089452885,Phoenix,4,13,92709
59,0.42997605,0.085722573,Phoenix,4,13,92710
60,0.36605057,0.064889707,Phoenix,4,13,92711
61,0.32118347,0.045888502,Phoenix,4,13,92712
62,0.43834773,0.051877484,Phoenix,4,13,92713
63,0.35844654,0.050449483,Phoenix,4,13,92715
64,0.32714406,0.037199434,Phoenix,4,13,92716
65,0.35412177,0.039417766,Phoenix,4,13,92717
66,0.3444514,0.035562597,Phoenix,4,13,92718
67,0.2879577,0.074315153,Phoenix,4,13,92719
